Session Code,Filename,Matched Agencies
109-1,LB53_Intro_Copy.docx,None found
109-1,LB540_Intro_Copy.docx,Department of Agriculture
109-1,LB541_Intro_Copy.docx,"Department of Administrative Services, Department of Motor Vehicles"
109-1,LB542_Intro_Copy.docx,Department of Transportation
109-1,LB543_Intro_Copy.docx,Department of Motor Vehicles
109-1,LB544_Intro_Copy.docx,None found
109-1,LB545_Intro_Copy.docx,None found
109-1,LB546_Intro_Copy.docx,None found
109-1,LB547_Intro_Copy.docx,None found
109-1,LB548_Intro_Copy.docx,None found
109-1,LB549_Intro_Copy.docx,None found
109-1,LB54_Intro_Copy.docx,Department of Health and Human Services
109-1,LB550_Intro_Copy.docx,None found
109-1,LB551_Intro_Copy.docx,Department of Administrative Services
109-1,LB552_Intro_Copy.docx,None found
109-1,LB553_Intro_Copy.docx,None found
109-1,LB554_Intro_Copy.docx,Department of Health and Human Services
109-1,LB555_Intro_Copy.docx,None found
109-1,LB556_Intro_Copy.docx,"Department of Correctional Services, Department of Health and Human Services"
109-1,LB557_Intro_Copy.docx,None found
109-1,LB558_Final_Copy.docx,None found
109-1,LB559_Final_Copy.docx,None found
109-1,LB55_Intro_Copy.docx,Department of Health and Human Services
109-1,LB560_Final_Copy.docx,None found
109-1,LB561_Final_Copy.docx,Department of Transportation
109-1,LB562_Intro_Copy.docx,None found
109-1,LB563_Intro_Copy.docx,None found
109-1,LB564_Intro_Copy.docx,Department of Administrative Services
109-1,LB565_Intro_Copy.docx,None found
109-1,LB566_Intro_Copy.docx,Department of Revenue
109-1,LB567_Intro_Copy.docx,None found
109-1,LB568_Intro_Copy.docx,"Department of Health and Human Services, Department of Motor Vehicles, Department of Revenue, Department of Veterans' Affairs"
109-1,LB569_Intro_Copy.docx,None found
109-1,LB56_Intro_Copy.docx,Department of Transportation
109-1,LB570_Intro_Copy.docx,Department of Health and Human Services
109-1,LB571_Intro_Copy.docx,None found
109-1,LB572_Intro_Copy.docx,None found
109-1,LB573_Intro_Copy.docx,None found
109-1,LB574_Intro_Copy.docx,None found
109-1,LB575_Intro_Copy.docx,None found
109-1,LB576_Intro_Copy.docx,Department of Revenue
109-1,LB577_Intro_Copy.docx,None found
109-1,LB578_Intro_Copy.docx,"Department of Labor, Department of Correctional Services"
109-1,LB579_Intro_Copy.docx,None found
109-1,LB57_Intro_Copy.docx,Department of Health and Human Services
109-1,LB580_Intro_Copy.docx,None found
109-1,LB581_Intro_Copy.docx,Department of Health and Human Services
109-1,LB582_Intro_Copy.docx,None found
109-1,LB583_Intro_Copy.docx,"Department of Economic Development, Department of Health and Human Services, Department of Revenue, Department of Veterans' Affairs, Military Department"
109-1,LB584_Intro_Copy.docx,Department of Correctional Services
109-1,LB585_Intro_Copy.docx,None found
109-1,LB586_Intro_Copy.docx,None found
109-1,LB587_Intro_Copy.docx,None found
109-1,LB588_Intro_Copy.docx,Department of Health and Human Services
109-1,LB589_Intro_Copy.docx,None found
109-1,LB58_Final_Copy.docx,None found
109-1,LB590_Intro_Copy.docx,Department of Transportation
109-1,LB591_Intro_Copy.docx,None found
109-1,LB592_Final_Copy.docx,Department of Administrative Services
109-1,LB593_Final_Copy.docx,None found
109-1,LB594_Intro_Copy.docx,None found
109-1,LB595_Intro_Copy.docx,None found
109-1,LB596_Intro_Copy.docx,None found
109-1,LB597_Intro_Copy.docx,None found
109-1,LB598_Intro_Copy.docx,Department of Administrative Services
109-1,LB599_Intro_Copy.docx,None found
109-1,LB59_Final_Copy.docx,None found
109-1,LB5_Intro_Copy.docx,None found
109-1,LB600_Intro_Copy.docx,Department of Transportation
109-1,LB601_Intro_Copy.docx,None found
109-1,LB602_Intro_Copy.docx,None found
109-1,LB603_Intro_Copy.docx,Department of Health and Human Services
109-1,LB604_Intro_Copy.docx,None found
109-1,LB605_Intro_Copy.docx,None found
109-1,LB606_Intro_Copy.docx,"Department of Correctional Services, Department of Health and Human Services, Department of Revenue"
109-1,LB607_Intro_Copy.docx,None found
109-1,LB608_Final_Copy.docx,"Department of Correctional Services, Department of Revenue"
109-1,LB608A_Intro_Copy.docx,None found
109-1,LB609_Final_Copy.docx,None found
109-1,LB609A_Final_Copy.docx,Department of Banking and Finance
109-1,LB60_Intro_Copy.docx,None found
109-1,LB610_Intro_Copy.docx,Department of Health and Human Services
109-1,LB611_Intro_Copy.docx,None found
109-1,LB612_Intro_Copy.docx,None found
109-1,LB613_Final_Copy.docx,"Department of Administrative Services, Department of Labor, Department of Revenue"
109-1,LB613A_Final_Copy.docx,Department of Revenue
109-1,LB614_Final_Copy.docx,None found
109-1,LB615_Intro_Copy.docx,None found
109-1,LB616_Intro_Copy.docx,None found
109-1,LB617_Intro_Copy.docx,None found
109-1,LB618_Intro_Copy.docx,None found
109-1,LB619_Intro_Copy.docx,Department of Transportation
109-1,LB61_Intro_Copy.docx,Department of Health and Human Services
109-1,LB620_Intro_Copy.docx,None found
109-1,LB621_Intro_Copy.docx,"Department of Administrative Services, Department of Health and Human Services"
109-1,LB622_Intro_Copy.docx,"Department of Economic Development, Department of Revenue"
109-1,LB623_Intro_Copy.docx,None found
109-1,LB624_Intro_Copy.docx,None found
109-1,LB625_Intro_Copy.docx,Department of Revenue
109-1,LB626_Intro_Copy.docx,"Department of Economic Development, Department of Labor"
109-1,LB627_Intro_Copy.docx,None found
109-1,LB628_Intro_Copy.docx,None found
109-1,LB629_Intro_Copy.docx,None found
109-1,LB62_Intro_Copy.docx,Department of Administrative Services
109-1,LB630_Intro_Copy.docx,None found
109-1,LB631_Intro_Copy.docx,None found
109-1,LB632_Intro_Copy.docx,None found
109-1,LB633_Intro_Copy.docx,None found
109-1,LB634_Intro_Copy.docx,None found
109-1,LB635_Final_Copy.docx,None found
109-1,LB636_Intro_Copy.docx,None found
109-1,LB637_Intro_Copy.docx,"Department of Economic Development, Department of Labor, Department of Transportation"
109-1,LB638_Intro_Copy.docx,None found
109-1,LB639_Intro_Copy.docx,Department of Insurance
109-1,LB63_Intro_Copy.docx,None found
109-1,LB640_Final_Copy.docx,None found
109-1,LB641_Final_Copy.docx,Department of Health and Human Services
109-1,LB642_Intro_Copy.docx,None found
109-1,LB643_Intro_Copy.docx,Department of Revenue
109-1,LB644_Final_Copy.docx,None found
109-1,LB644A_Final_Copy.docx,None found
109-1,LB645_Final_Copy.docx,None found
109-1,LB645A_Final_Copy.docx,None found
109-1,LB646_Final_Copy.docx,Department of Administrative Services
109-1,LB647_Final_Copy.docx,"Department of Administrative Services, Department of Health and Human Services, Department of Revenue"
109-1,LB647A_Final_Copy.docx,Department of Revenue
109-1,LB648_Intro_Copy.docx,Department of Transportation
109-1,LB649_Final_Copy.docx,"Department of Labor, Department of Revenue"
109-1,LB64_Intro_Copy.docx,None found
109-1,LB650_Final_Copy.docx,"Department of Administrative Services, Department of Agriculture, Department of Economic Development, Department of Labor, Department of Motor Vehicles, Department of Revenue"
109-1,LB651_Intro_Copy.docx,"Department of Agriculture, Department of Correctional Services, Department of Health and Human Services, Department of Revenue, Department of Transportation, Military Department"
109-1,LB652_Intro_Copy.docx,Department of Administrative Services
109-1,LB653_Intro_Copy.docx,Department of Administrative Services
109-1,LB654_Intro_Copy.docx,Department of Agriculture
109-1,LB655_Intro_Copy.docx,None found
109-1,LB656_Intro_Copy.docx,"Department of Agriculture, Department of Labor, Department of Health and Human Services"
109-1,LB657_Intro_Copy.docx,None found
109-1,LB658_Intro_Copy.docx,Department of Agriculture
109-1,LB659_Intro_Copy.docx,None found
109-1,LB65_Intro_Copy.docx,"Department of Correctional Services, Department of Health and Human Services"
109-1,LB660_Final_Copy.docx,"Department of Administrative Services, Department of Correctional Services, Department of Transportation"
109-1,LB661_Intro_Copy.docx,None found
109-1,LB662_Intro_Copy.docx,None found
109-1,LB663_Intro_Copy.docx,None found
109-1,LB664_Intro_Copy.docx,None found
109-1,LB665_Intro_Copy.docx,None found
109-1,LB666_Intro_Copy.docx,None found
109-1,LB667_Final_Copy.docx,None found
109-1,LB668_Intro_Copy.docx,Department of Health and Human Services
109-1,LB669_Intro_Copy.docx,Department of Health and Human Services
109-1,LB66_Intro_Copy.docx,None found
109-1,LB670_Intro_Copy.docx,Department of Health and Human Services
109-1,LB671_Intro_Copy.docx,Department of Labor
109-1,LB672_Intro_Copy.docx,None found
109-1,LB673_Intro_Copy.docx,Department of Administrative Services
109-1,LB674_Intro_Copy.docx,Department of Administrative Services
109-1,LB675_Intro_Copy.docx,None found
109-1,LB676_Intro_Copy.docx,None found
109-1,LB677_Intro_Copy.docx,"Department of Agriculture, Department of Correctional Services, Department of Health and Human Services, Department of Revenue, Department of Transportation, Military Department"
109-1,LB677A_Intro_Copy.docx,None found
109-1,LB678_Intro_Copy.docx,None found
109-1,LB679_Intro_Copy.docx,Department of Labor
109-1,LB67_Intro_Copy.docx,None found
109-1,LB680_Intro_Copy.docx,None found
109-1,LB681_Intro_Copy.docx,None found
109-1,LB682_Intro_Copy.docx,None found
109-1,LB683_Intro_Copy.docx,Department of Administrative Services
109-1,LB684_Intro_Copy.docx,"Department of Administrative Services, Department of Economic Development, Department of Labor, Department of Correctional Services, Department of Health and Human Services, Department of Motor Vehicles"
109-1,LB685_Intro_Copy.docx,Department of Administrative Services
109-1,LB686_Intro_Copy.docx,None found
109-1,LB687_Intro_Copy.docx,Department of Administrative Services
109-1,LB688_Intro_Copy.docx,None found
109-1,LB689_Intro_Copy.docx,None found
109-1,LB68_Intro_Copy.docx,None found
109-1,LB690_Intro_Copy.docx,"Department of Motor Vehicles, Department of Transportation"
109-1,LB691_Intro_Copy.docx,None found
109-1,LB692_Intro_Copy.docx,None found
109-1,LB693_Intro_Copy.docx,Department of Veterans' Affairs
109-1,LB694_Intro_Copy.docx,Department of Transportation
109-1,LB695_Intro_Copy.docx,None found
109-1,LB696_Final_Copy.docx,None found
109-1,LB697_Intro_Copy.docx,None found
109-1,LB698_Intro_Copy.docx,Department of Labor
109-1,LB699_Intro_Copy.docx,None found
109-1,LB69_Final_Copy.docx,None found
109-1,LB6_Intro_Copy.docx,Department of Correctional Services
109-1,LB700_Intro_Copy.docx,"Department of Correctional Services, Department of Health and Human Services"
109-1,LB701_Intro_Copy.docx,None found
109-1,LB702_Intro_Copy.docx,None found
109-1,LB703_Intro_Copy.docx,None found
109-1,LB704_Final_Copy.docx,None found
109-1,LB705_Intro_Copy.docx,"Department of Agriculture, Department of Economic Development, Department of Correctional Services, Department of Health and Human Services, Department of Motor Vehicles, Department of Revenue, Department of Transportation, Military Department"
109-1,LB706_Intro_Copy.docx,None found
109-1,LB707_Final_Copy.docx,"Department of Economic Development, Department of Revenue"
109-1,LB707A_Final_Copy.docx,Department of Revenue
109-1,LB708_Intro_Copy.docx,None found
109-1,LB709_Intro_Copy.docx,Department of Revenue
109-1,LB70_Intro_Copy.docx,Department of Health and Human Services
109-1,LB710_Intro_Copy.docx,Department of Revenue
109-1,LB711_Intro_Copy.docx,None found
109-1,LB712_Intro_Copy.docx,None found
109-1,LB712A_Intro_Copy.docx,Department of Revenue
109-1,LB713_Intro_Copy.docx,None found
109-1,LB714_Intro_Copy.docx,None found
109-1,LB715_Intro_Copy.docx,None found
109-1,LB71_Intro_Copy.docx,Department of Health and Human Services
109-1,LB72_Final_Copy.docx,Department of Correctional Services
109-1,LB73_Intro_Copy.docx,None found
109-1,LB74_Intro_Copy.docx,None found
109-1,LB75_Intro_Copy.docx,Department of Labor
109-1,LB76_Intro_Copy.docx,Department of Labor
109-1,LB77_Final_Copy.docx,"Department of Insurance, Department of Health and Human Services"
109-1,LB77A_Final_Copy.docx,Department of Insurance
109-1,LB78_Final_Copy.docx,"Department of Health and Human Services, Department of Revenue"
109-1,LB78A_Final_Copy.docx,Department of Health and Human Services
109-1,LB79_Intro_Copy.docx,None found
109-1,LB7_Final_Copy.docx,Department of Agriculture
109-1,LB80_Final_Copy.docx,Department of Health and Human Services
109-1,LB80A_Final_Copy.docx,None found
109-1,LB81_Intro_Copy.docx,Department of Revenue
109-1,LB82_Intro_Copy.docx,None found
109-1,LB83_Intro_Copy.docx,Department of Health and Human Services
109-1,LB84_Final_Copy.docx,Department of Health and Human Services
109-1,LB85_Final_Copy.docx,Department of Motor Vehicles
109-1,LB86_Intro_Copy.docx,None found
109-1,LB87_Intro_Copy.docx,None found
109-1,LB88_Intro_Copy.docx,Department of Economic Development
109-1,LB89_Final_Copy.docx,None found
109-1,LB8_Intro_Copy.docx,Department of Revenue
109-1,LB90_Final_Copy.docx,None found
109-1,LB91_Final_Copy.docx,None found
109-1,LB92_Intro_Copy.docx,None found
109-1,LB93_Intro_Copy.docx,None found
109-1,LB94_Intro_Copy.docx,"Department of Economic Development, Department of Labor"
109-1,LB95_Intro_Copy.docx,Department of Health and Human Services
109-1,LB96_Intro_Copy.docx,Department of Health and Human Services
109-1,LB97_Final_Copy.docx,Department of Motor Vehicles
109-1,LB98_Final_Copy.docx,None found
109-1,LB99_Intro_Copy.docx,Department of Correctional Services
109-1,LB9_Final_Copy.docx,None found
